id;Posto
1;Slalom
2;Saulire
3;Col de la Loze
4;Face
5;Altiport
6;Pas du Lac
7;Combes
8;Méribel Mottaret
9;Mont Vallon
10;3 Marches
11;Mont De La Challe
12;Cherferie
13;Funny Run
14;Snowpark
15;Plan Des Mains
16;Couloir Tournier 
17;Tougnete
18;Perdrix
19;Dahu
20;Le Rond Point
21;Roc de Fer
22;Crêtes
23;Le roc
24;Dent De Burgin
25;Niverolle
26;Caves
27;Choucas
28;Ibex
29;Val de Thorens
30;Speedy Run
31;Blanchot
32;Fouine
33;Gélinotte
34;Bumpy Run
35;Aigle
36;Chalets
37;Les Alloues
38;Meribel Village
39;Méribel Centre
40;Stade de slalom
41;Lièvre
42;La piste des nuits
43;Truite
44;Chamois
45;Villages
46;La Chaudanne
47;Martre
48;Bump'N'Jump
49;Rhodos
50;Jn'bee
51;Sittelle
52;Arolles
53;Méribel Mottaret 
54;Le Raffort
55;Renardeau
56;Bouvreuil
